# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 2203647     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Hebrew word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
33	אֲבִי הָעֶזְרִי	ʼĂbîy hâ-ʻEzrîy	ab-ee'-haw-ez-ree'	x-pn	Proper Name Masculine	an Abiezrite or descendant of Abiezer; Abiezrite.; from <a href='/Strongs/strongs-h44' onclick='return ABMM("/Strongs","/strongs-h44");'>h44</a> (אֲבִיעֶזֶר) with the article inserted; father of the Ezrite
34	אֶבְיוֹן	ʼebyôwn	eb-yone'	heb		destitute; beggar, needy, poor (man).; from <a href='/Strongs/strongs-h14' onclick='return ABMM("/Strongs","/strongs-h14");'>h14</a> (אָבָה), in the sense of want (especially in feeling)
35	אֲבִיּוֹנָה	ʼăbîyôwnâh	ab-ee-yo-naw'	heb	Noun Feminine	provocative of desire; the caper berry (from its stimulative taste); desire.; from <a href='/Strongs/strongs-h14' onclick='return ABMM("/Strongs","/strongs-h14");'>h14</a> (אָבָה)
36	אֲבִיטוּב	ʼĂbîyṭûwb	ab-ee-toob'	x-pn	Proper Name Masculine	Abitub, an Israelite; Abitub.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h2898' onclick='return ABMM("/Strongs","/strongs-h2898");'>h2898</a> (טוּב); father of goodness (i.e. good)
37	אֲבִיטָל	ʼĂbîyṭâl	ab-ee-tal'	x-pn	Proper Name Feminine	Abital, a wife of King David; Abital.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h2919' onclick='return ABMM("/Strongs","/strongs-h2919");'>h2919</a> (טַל); father of dew (i.e. fresh)
38	אֲבִיָּם	ʼĂbîyâm	ab-ee-yawm'	x-pn	Proper Name Masculine	Abijam (or Abijah), a king of Judah; Abijam.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h3220' onclick='return ABMM("/Strongs","/strongs-h3220");'>h3220</a> (יָם); father of (the) sea (i.e. seaman)
39	אֲבִימָאֵל	ʼĂbîymâʼêl	ab-ee-maw-ale'	x-pn		Abimael, a son of Joktan; Abimael.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and an elsewhere unused (probably foreign) word; father of Mael (apparently some Arab tribe)
40	אֲבִימֶלֶךְ	ʼĂbîymelek	ab-ee-mel'-ek	x-pn	Proper Name Masculine	Abimelek, the name of two Philistine kings and of two Israelites; Abimelech.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h4428' onclick='return ABMM("/Strongs","/strongs-h4428");'>h4428</a> (מֶלֶךְ); father of (the) king
41	אֲבִינָדָב	ʼĂbîynâdâb	ab-ee-naw-dawb'	x-pn	Proper Name Masculine	Abinadab, the name of four Israelites; Abinadab.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h5068' onclick='return ABMM("/Strongs","/strongs-h5068");'>h5068</a> (נָדַב); father of generosity (i.e. liberal)
42	אֲבִינֹעַם	ʼĂbîynôʻam	ab-ee-no'-am	x-pn	Proper Name Masculine	Abinoam, an Israelite; Abinoam.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h5278' onclick='return ABMM("/Strongs","/strongs-h5278");'>h5278</a> (נֹעַם); father of pleasantness (i.e. gracious)
43	אֶבְיָסָף	ʼEbyâçâph	eb-yaw-sawf'	x-pn	Proper Name Masculine	Ebjasaph, an Israelite; Ebiasaph.; contracted from <a href='/Strongs/strongs-h23' onclick='return ABMM("/Strongs","/strongs-h23");'>h23</a> (אֲבִיאָסָף)
44	אֲבִיעֶזֶר	ʼĂbîyʻezer	ab-ee-ay'-zer	x-pn	Proper Name Masculine	Abiezer, the name of two Israelites; Abiezer.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h5829' onclick='return ABMM("/Strongs","/strongs-h5829");'>h5829</a> (עֵזֶר); father of help (i.e. helpful)
45	אֲבִי־עַלְבוֹן	ʼĂbîy-ʻalbôwn	ab-ee-al-bone'	x-pn	Proper Name Masculine	Abialbon, an Israelite; Abialbon.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and an unused root of uncertain derivation; probably, father of strength (i.e. valiant)
46	אָבִיר	ʼâbîyr	aw-beer'	heb	Adjective Masculine	mighty (spoken of God); mighty (one).; from <a href='/Strongs/strongs-h82' onclick='return ABMM("/Strongs","/strongs-h82");'>h82</a> (אָבַר)
47	אַבִּיר	ʼabbîyr	ab-beer'	heb	Adjective Masculine	{mighty (spoken of God)}; angel, bull, chiefest, mighty (one), stout(-hearted), strong (one), valiant.; for <a href='/Strongs/strongs-h46' onclick='return ABMM("/Strongs","/strongs-h46");'>h46</a> (אָבִיר)
48	אֲבִירָם	ʼĂbîyrâm	ab-ee-rawm'	x-pn	Proper Name Masculine	Abiram, the name of two Israelites; Abiram.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h7311' onclick='return ABMM("/Strongs","/strongs-h7311");'>h7311</a> (רוּם); father of height (i.e. lofty)
49	אֲבִישַׁג	ʼĂbîyshag	ab-ee-shag'	x-pn	Proper Name Feminine	Abishag, a concubine of David; Abishag.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h7686' onclick='return ABMM("/Strongs","/strongs-h7686");'>h7686</a> (שָׁגָה); father of error (i.e. blundering)
50	אֲבִישׁוּעַ	ʼĂbîyshûwaʻ	ab-ee-shoo'-ah	x-pn	Proper Name Masculine	Abishua, the name of two Israelites; Abishua.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h7771' onclick='return ABMM("/Strongs","/strongs-h7771");'>h7771</a> (שׁוֹעַ); father of plenty (i.e. prosperous)
51	אֲבִישׁוּר	ʼĂbîyshûwr	ab-ee-shoor'	x-pn	Proper Name Masculine	Abishur, an Israelite; Abishur.; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h7791' onclick='return ABMM("/Strongs","/strongs-h7791");'>h7791</a> (שׁוּר); father of (the) wall (i.e. perhaps mason)
52	אֲבִישַׁי	ʼĂbîyshay	ab-ee-shah'ee	x-pn	Proper Name Masculine	Abishai, an Israelite; Abishai.; or (shorter) אַבְשַׁי ; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h7862' onclick='return ABMM("/Strongs","/strongs-h7862");'>h7862</a> (שַׁי); father of a gift (i.e. probably generous)
53	אֲבִישָׁלוֹם	ʼĂbîyshâlôwm	ab-ee-shaw-lome'	x-pn	Proper Name Masculine	Abshalom, a son of David; also (the fuller form) a later Israelite; Abishalom, Absalom.; or (shortened) אַבְשָׁלוֹם ; from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h7965' onclick='return ABMM("/Strongs","/strongs-h7965");'>h7965</a> (שָׁלוֹם); father of peace (i.e. friendly)
54	אֶבְיָתָר	ʼEbyâthâr	ab-yaw-thawr'	x-pn	Proper Name Masculine	Ebjathar, an Israelite; Abiathar.; contracted from <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a> (אָב) and <a href='/Strongs/strongs-h3498' onclick='return ABMM("/Strongs","/strongs-h3498");'>h3498</a> (יָתַר); father of abundance (i.e. liberal)
55	אָבַךְ	ʼâbak	aw-bak'	heb	Verb	probably to coil upward; mount up.; a primitive root
56	אָבַל	ʼâbal	aw-bal'	heb	Verb	to bewail; lament, mourn.; a primitive root
57	אָבֵל	ʼâbêl	aw-bale'	heb	Adjective	lamenting; mourn(-er, -ing).; from <a href='/Strongs/strongs-h56' onclick='return ABMM("/Strongs","/strongs-h56");'>h56</a> (אָבַל)
58	אָבֵל	ʼâbêl	aw-bale'	heb	Noun Feminine	a meadow; plain. Compare also the proper names beginning with Abel-.; from an unused root (meaning to be grassy)
59	אָבֵל	ʼÂbêl	aw-bale'	x-pn	Proper Name Location	Abel, the name of two places in Palestine.; Abel.; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל); a meadow
60	אֵבֶל	ʼêbel	ay'-bel	heb	Noun Masculine	lamentation; mourning.; from <a href='/Strongs/strongs-h56' onclick='return ABMM("/Strongs","/strongs-h56");'>h56</a> (אָבַל)
61	אֲבָל	ʼăbâl	ab-awl'	heb	Adverb	nay, i.e. truly or yet; but, indeed, nevertheless, verily.; apparently from <a href='/Strongs/strongs-h56' onclick='return ABMM("/Strongs","/strongs-h56");'>h56</a> (אָבַל) through the idea of negation
62	אָבֵל בֵּית־מֲעַכָה	ʼÂbêl Bêyth-Măʻakâh	aw-bale' bayth ma-akaw'	x-pn	Proper Name Location	Abel of Beth-maakah, a place in Palestine; Abel-beth-maachah, Abel of Beth-maachah,; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל) and <a href='/Strongs/strongs-h1004' onclick='return ABMM("/Strongs","/strongs-h1004");'>h1004</a> (בַּיִת) and <a href='/Strongs/strongs-h4601' onclick='return ABMM("/Strongs","/strongs-h4601");'>h4601</a> (מַעֲכָה); meadow of Beth-Maakah
63	אָבֵל הַשִּׁטִּים	ʼÂbêl hash-Shiṭṭîym	aw-bale' hash-shit-teem'	x-pn	Proper Name Location	Abel hash-Shittim, a place in Palestine; Abelshittim.; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל) and the plural of <a href='/Strongs/strongs-h7848' onclick='return ABMM("/Strongs","/strongs-h7848");'>h7848</a> (שִׁטָּה), with the article inserted; meadow of the acacias
64	אָבֵל כְּרָמִים	ʼÂbêl Kᵉrâmîym	aw-bale' ker-aw-meem'	x-pn	Proper Name Location	Abel-Keramim, a place in Palestine; plain of the vineyards.; from <a href='/Strongs/strongs-h58' onclick='return ABMM("/Strongs","/strongs-h58");'>h58</a> (אָבֵל) and the plural of <a href='/Strongs/strongs-h3754' onclick='return ABMM("/Strongs","/strongs-h3754");'>h3754</a> (כֶּרֶם); meadow of vineyards
