# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 2203647     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Hebrew word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
3341	יָצַת	yâtsath	yaw-tsath'	heb	Verb	to burn or set on fire; figuratively, to desolate; burn (up), be desolate, set (on) fire (fire), kindle.; a primitive root
3342	יֶקֶב	yeqeb	yeh'-keb	heb	Noun Masculine	a trough (as dug out); specifically, a wine-vat (whether the lower one, into which the juice drains; or the upper, in which the grapes are crushed); fats, presses, press-fat, wine(-press).; from an unused root meaning to excavate
3343	יְקַבְצְאֵל	Yᵉqabtsᵉʼêl	yek-ab-tseh-ale'	x-pn	Proper Name Location	Jekabtseel, a place in Palestine; Jekabzeel. Compare <a href='/Strongs/strongs-h6909' onclick='return ABMM("/Strongs","/strongs-h6909");'>h6909</a> (קַבְצְאֵל).; from <a href='/Strongs/strongs-h6908' onclick='return ABMM("/Strongs","/strongs-h6908");'>h6908</a> (קָבַץ) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); God will gather
3344	יָקַד	yâqad	yaw-kad'	heb	Verb	to burn; (be) burn(-ing), [idiom] from the hearth, kindle.; a primitive root
3345	יְקַד	yᵉqad	yek-ad'	arc	Verb	{to burn}; burning.; (Aramaic) corresponding to <a href='/Strongs/strongs-h3344' onclick='return ABMM("/Strongs","/strongs-h3344");'>h3344</a> (יָקַד)
3346	יְקֵדָא	yᵉqêdâʼ	yek-ay-daw'	arc	Noun Feminine	a conflagration; burning.; (Aramaic) from <a href='/Strongs/strongs-h3345' onclick='return ABMM("/Strongs","/strongs-h3345");'>h3345</a> (יְקַד)
3347	יׇקְדְעָם	Yoqdᵉʻâm	yok-deh-awm'	x-pn	Proper Name Location	Jokdeam, a place in Palestine; Jokdeam.; from <a href='/Strongs/strongs-h3344' onclick='return ABMM("/Strongs","/strongs-h3344");'>h3344</a> (יָקַד) and <a href='/Strongs/strongs-h5971' onclick='return ABMM("/Strongs","/strongs-h5971");'>h5971</a> (עַם); burning of (the) people
3348	יָקֶה	Yâqeh	yaw-keh'	x-pn	Proper Name Masculine	Jakeh, a symbolical name (for Solomon); Jakeh.; from an unused root probably meaning to obey; obedient
3349	יִקָּהָה	yiqqâhâh	yik-kaw-haw'	heb	Noun Feminine	obedience; gathering, to obey.; from the same as <a href='/Strongs/strongs-h3348' onclick='return ABMM("/Strongs","/strongs-h3348");'>h3348</a> (יָקֶה)
3350	יְקוֹד	yᵉqôwd	yek-ode'	heb	Noun Masculine	a burning; burning.; from <a href='/Strongs/strongs-h3344' onclick='return ABMM("/Strongs","/strongs-h3344");'>h3344</a> (יָקַד)
3351	יְקוּם	yᵉqûwm	yek-oom'	heb	Noun Masculine	properly, standing (extant), i.e. by implication, a living thing; (living) substance.; from <a href='/Strongs/strongs-h6965' onclick='return ABMM("/Strongs","/strongs-h6965");'>h6965</a> (קוּם)
3352	יָקוֹשׁ	yâqôwsh	yaw-koshe'	heb	Noun Masculine	properly, entangling; hence, a snarer; fowler.; from <a href='/Strongs/strongs-h3369' onclick='return ABMM("/Strongs","/strongs-h3369");'>h3369</a> (יָקֹשׁ)
3353	יָקוּשׁ	yâqûwsh	yaw-koosh'	heb	Noun Masculine	properly, entangled, i.e. by implication (intransitively) a snare, or (transitive) a snarer; fowler, snare.; passive participle of <a href='/Strongs/strongs-h3369' onclick='return ABMM("/Strongs","/strongs-h3369");'>h3369</a> (יָקֹשׁ)
3354	יְקוּתִיאֵל	Yᵉqûwthîyʼêl	yek-ooth-ee'-ale	x-pn	Proper Name Masculine	Jekuthiel, an Israelite; Jekuthiel.; from the same as <a href='/Strongs/strongs-h3348' onclick='return ABMM("/Strongs","/strongs-h3348");'>h3348</a> (יָקֶה) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); obedience of God
3355	יׇקְטָן	Yoqṭân	yok-tawn'	x-pn	Proper Name Masculine	Joktan, an Arabian patriarch; Joktan.; from <a href='/Strongs/strongs-h6994' onclick='return ABMM("/Strongs","/strongs-h6994");'>h6994</a> (קָטֹן); he will be made little
3356	יָקִים	Yâqîym	yaw-keem'	x-pn	Proper Name Masculine	Jakim, the name of two Israelites; Jakim. Compare <a href='/Strongs/strongs-h3079' onclick='return ABMM("/Strongs","/strongs-h3079");'>h3079</a> (יְהוֹיָקִים).; from <a href='/Strongs/strongs-h6965' onclick='return ABMM("/Strongs","/strongs-h6965");'>h6965</a> (קוּם); he will raise
3357	יַקִּיר	yaqqîyr	yak-keer'	heb	Adjective	precious; dear.; from <a href='/Strongs/strongs-h3365' onclick='return ABMM("/Strongs","/strongs-h3365");'>h3365</a> (יָקַר)
3358	יַקִּיר	yaqqîyr	yak-keer'	arc	Adjective	{precious}; noble, rare.; (Aramaic) corresponding to <a href='/Strongs/strongs-h3357' onclick='return ABMM("/Strongs","/strongs-h3357");'>h3357</a> (יַקִּיר)
3359	יְקַמְיָה	Yᵉqamyâh	yek-am-yaw'	x-pn	Proper Name Masculine	Jekamjah, the name of two Israelites; Jekamiah. Compare <a href='/Strongs/strongs-h3079' onclick='return ABMM("/Strongs","/strongs-h3079");'>h3079</a> (יְהוֹיָקִים).; from <a href='/Strongs/strongs-h6965' onclick='return ABMM("/Strongs","/strongs-h6965");'>h6965</a> (קוּם) and <a href='/Strongs/strongs-h3050' onclick='return ABMM("/Strongs","/strongs-h3050");'>h3050</a> (יָהּ); Jah will rise
3360	יְקַמְעָם	Yᵉqamʻâm	yek-am'-awm	x-pn	Proper Name Masculine	Jekamam, an Israelite; Jekameam. Compare <a href='/Strongs/strongs-h3079' onclick='return ABMM("/Strongs","/strongs-h3079");'>h3079</a> (יְהוֹיָקִים), <a href='/Strongs/strongs-h3361' onclick='return ABMM("/Strongs","/strongs-h3361");'>h3361</a> (יׇקְמְעָם).; from <a href='/Strongs/strongs-h6965' onclick='return ABMM("/Strongs","/strongs-h6965");'>h6965</a> (קוּם) and <a href='/Strongs/strongs-h5971' onclick='return ABMM("/Strongs","/strongs-h5971");'>h5971</a> (עַם); (the) people will rise
3361	יׇקְמְעָם	Yoqmᵉʻâm	yok-meh-awm'	x-pn	Proper Name Location	Jokmeam, a place in Palestine; Jokmeam. Compare <a href='/Strongs/strongs-h3360' onclick='return ABMM("/Strongs","/strongs-h3360");'>h3360</a> (יְקַמְעָם), <a href='/Strongs/strongs-h3362' onclick='return ABMM("/Strongs","/strongs-h3362");'>h3362</a> (יׇקְנְעָם).; from <a href='/Strongs/strongs-h6965' onclick='return ABMM("/Strongs","/strongs-h6965");'>h6965</a> (קוּם) and <a href='/Strongs/strongs-h5971' onclick='return ABMM("/Strongs","/strongs-h5971");'>h5971</a> (עַם); (the) people will be raised
3362	יׇקְנְעָם	Yoqnᵉʻâm	yok-neh-awm'	x-pn	Proper Name Location	Jokneam, a place in Palestine; Jokneam.; from <a href='/Strongs/strongs-h6969' onclick='return ABMM("/Strongs","/strongs-h6969");'>h6969</a> (קוּן) and <a href='/Strongs/strongs-h5971' onclick='return ABMM("/Strongs","/strongs-h5971");'>h5971</a> (עַם); (the) people will be lamented
3363	יָקַע	yâqaʻ	yaw-kah'	heb	Verb	properly, to sever oneself, i.e. (by implication) to be dislocated; figuratively, to abandon; causatively, to impale (and thus allow to drop to pieces by rotting); be alienated, depart, hang (up), be out of joint.; a primitive root
3364	יָקַץ	yâqats	yaw-kats'	heb	Verb	to awake (intransitive); (be) awake(-d).; a primitive root
3365	יָקַר	yâqar	yaw-kar'	heb	Verb	properly, apparently, to be heavy, i.e. (figuratively) valuable; causatively, to make rare (figuratively, to inhibit); be (make) precious, be prized, be set by, withdraw.; a primitive root
3366	יְקָר	yᵉqâr	yek-awr'	heb	Noun Masculine	value, i.e. (concretely) wealth; abstractly, costliness, dignity; honour, precious (things), price.; from <a href='/Strongs/strongs-h3365' onclick='return ABMM("/Strongs","/strongs-h3365");'>h3365</a> (יָקַר)
3367	יְקָר	yᵉqâr	yek-awr'	arc	Noun Masculine	{value, i.e. (concretely) wealth; abstractly, costliness, dignity}; glory, honour.; (Aramaic) corresponding to <a href='/Strongs/strongs-h3366' onclick='return ABMM("/Strongs","/strongs-h3366");'>h3366</a> (יְקָר)
3368	יָקָר	yâqâr	yaw-kawr'	heb	Adjective	valuable (objectively or subjectively); brightness, clear, costly, excellent, fat, honourable women, precious, reputation.; from <a href='/Strongs/strongs-h3365' onclick='return ABMM("/Strongs","/strongs-h3365");'>h3365</a> (יָקַר)
3369	יָקֹשׁ	yâqôsh	yaw-koshe'	heb	Verb	to ensnare (literally or figuratively); fowler (lay a) snare.; a primitive root
3370	יׇקְשָׁן	Yoqshân	yok-shawn'	x-pn	Proper Name Masculine	Jokshan, an Arabian patriarch; Jokshan.; from <a href='/Strongs/strongs-h3369' onclick='return ABMM("/Strongs","/strongs-h3369");'>h3369</a> (יָקֹשׁ); insidious
3371	יׇקְתְאֵל	Yoqthᵉʼêl	yok-theh-ale'	x-pn	Proper Name Location	Joktheel, the name of a place in Palestine, and of one in Idumaea; Joktheel.; probably from the same as <a href='/Strongs/strongs-h3348' onclick='return ABMM("/Strongs","/strongs-h3348");'>h3348</a> (יָקֶה) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); veneration of God (compare <a href='/Strongs/strongs-h3354' onclick='return ABMM("/Strongs","/strongs-h3354");'>h3354</a> (יְקוּתִיאֵל))
3372	יָרֵא	yârêʼ	yaw-ray'	heb	Verb	to fear; morally, to revere; caus. to frighten; affright, be (make) afraid, dread(-ful), (put in) fear(-ful, -fully, -ing), (be had in) reverence(-end), [idiom] see, terrible (act, -ness, thing).; a primitive root
3373	יָרֵא	yârêʼ	yaw-ray'	heb	Adjective	fearing; morally, reverent; afraid, fear (-ful).; from <a href='/Strongs/strongs-h3372' onclick='return ABMM("/Strongs","/strongs-h3372");'>h3372</a> (יָרֵא)
3374	יִרְאָה	yirʼâh	yir-aw'	heb	Noun Feminine	fear (also used as infinitive); morally, reverence; [idiom] dreadful, [idiom] exceedingly, fear(-fulness).; feminine of <a href='/Strongs/strongs-h3373' onclick='return ABMM("/Strongs","/strongs-h3373");'>h3373</a> (יָרֵא)
3375	יִרְאוֹן	Yirʼôwn	yir-ohn'	x-pn	Proper Name Location	Jiron, a place in Palestine; Iron.; from <a href='/Strongs/strongs-h3372' onclick='return ABMM("/Strongs","/strongs-h3372");'>h3372</a> (יָרֵא); fearfulness
3376	יִרְאִיָּיה	Yirʼîyâyh	yir-ee-yaw'	x-pn	Proper Name Masculine	Jirijah, an Israelite; Irijah.; from <a href='/Strongs/strongs-h3373' onclick='return ABMM("/Strongs","/strongs-h3373");'>h3373</a> (יָרֵא) and <a href='/Strongs/strongs-h3050' onclick='return ABMM("/Strongs","/strongs-h3050");'>h3050</a> (יָהּ); fearful of Jah
3377	יָרֵב	Yârêb	yaw-rabe'	x-pn	Noun Masculine	Jareb, a symbolical name for Assyria; Jareb. Compare <a href='/Strongs/strongs-h3402' onclick='return ABMM("/Strongs","/strongs-h3402");'>h3402</a> (יָרִיב).; from <a href='/Strongs/strongs-h7378' onclick='return ABMM("/Strongs","/strongs-h7378");'>h7378</a> (רִיב); he will contend
3378	יְרֻבַּעַל	Yᵉrubbaʻal	yer-oob-bah'-al	x-pn	Proper Name Masculine	Jerubbaal, a symbolic name of Gideon; Jerubbaal.; from <a href='/Strongs/strongs-h7378' onclick='return ABMM("/Strongs","/strongs-h7378");'>h7378</a> (רִיב) and <a href='/Strongs/strongs-h1168' onclick='return ABMM("/Strongs","/strongs-h1168");'>h1168</a> (בַּעַל); Baal will contend
3379	יָרׇבְעָם	Yârobʻâm	yaw-rob-awm'	x-pn	Proper Name Masculine	Jarobam, the name of two Israelite kings; Jeroboam.; from <a href='/Strongs/strongs-h7378' onclick='return ABMM("/Strongs","/strongs-h7378");'>h7378</a> (רִיב) and <a href='/Strongs/strongs-h5971' onclick='return ABMM("/Strongs","/strongs-h5971");'>h5971</a> (עַם); (the) people will contend
3380	יְרֻבֶּשֶׁת	Yᵉrubbesheth	yer-oob-beh'-sheth	x-pn	Proper Name Masculine	Jerubbesheth, a symbolic name for Gideon; Jerubbesheth.; from <a href='/Strongs/strongs-h7378' onclick='return ABMM("/Strongs","/strongs-h7378");'>h7378</a> (רִיב) and <a href='/Strongs/strongs-h1322' onclick='return ABMM("/Strongs","/strongs-h1322");'>h1322</a> (בֹּשֶׁת); shame (i.e. the idol) will contend
3381	יָרַד	yârad	yaw-rad'	heb	Verb	to descend (literally, to go downwards; or conventionally to a lower region, as the shore, a boundary, the enemy, etc.; or figuratively, to fall); causatively, to bring down (in all the above applications); [idiom] abundantly, bring down, carry down, cast down, (cause to) come(-ing) down, fall (down), get down, go(-ing) down(-ward), hang down, [idiom] indeed, let down, light (down), put down (off), (cause to, let) run down, sink, subdue, take down.; a primitive root
3382	יֶרֶד	Yered	yeh'-red	x-pn	Proper Name Masculine	Jered, the name of an antediluvian, and of an Israelite; Jared.; from <a href='/Strongs/strongs-h3381' onclick='return ABMM("/Strongs","/strongs-h3381");'>h3381</a> (יָרַד); a descent
3383	יַרְדֵּן	Yardên	yar-dane'	x-pn	Proper Name	Jarden, the principal river of Palestine; Jordan.; from <a href='/Strongs/strongs-h3381' onclick='return ABMM("/Strongs","/strongs-h3381");'>h3381</a> (יָרַד); a descender
3384	יָרָה	yârâh	yaw-raw'	heb	Verb	properly, to flow as water (i.e. to rain); transitively, to lay or throw (especially an arrow, i.e. to shoot); figuratively, to point out (as if by aiming the finger), to teach; ([phrase]) archer, cast, direct, inform, instruct, lay, shew, shoot, teach(-er,-ing), through.; or (2 Chronicles 26:15) יָרָא; a primitive root
3385	יְרוּאֵל	Yᵉrûwʼêl	yer-oo-ale'	x-pn	Proper Name Location	Jeruel, a place in Palestine; Jeruel.; from <a href='/Strongs/strongs-h3384' onclick='return ABMM("/Strongs","/strongs-h3384");'>h3384</a> (יָרָה) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); founded of God
3386	יָרוֹחַ	Yârôwach	yaw-ro'-akh	x-pn	Proper Name Masculine	Jaroach, an Israelite; Jaroah.; perhaps denominative from <a href='/Strongs/strongs-h3394' onclick='return ABMM("/Strongs","/strongs-h3394");'>h3394</a> (יָרֵחַ); (born at the) new moon
3387	יָרוֹק	yârôwq	yaw-roke'	heb	Noun Masculine	green, i.e. an herb; green thing.; from <a href='/Strongs/strongs-h3417' onclick='return ABMM("/Strongs","/strongs-h3417");'>h3417</a> (יָרָק)
3388	יְרוּשָׁא	Yᵉrûwshâʼ	yer-oo-shaw'	x-pn	Proper Name Feminine	Jerusha or Jerushah, as Israelitess; Jerusha, Jerushah.; or יְרוּשָׁה feminine passive participle of <a href='/Strongs/strongs-h3423' onclick='return ABMM("/Strongs","/strongs-h3423");'>h3423</a> (יָרַשׁ); possessed
3389	יְרוּשָׁלַ͏ִם	Yᵉrûwshâlaim	yer-oo-shaw-lah'-im	x-pn		Jerushalaim or Jerushalem, the capital city of Palestine; Jerusalem.; rarely יְרוּשָׁלַיִם; a dual (in allusion to its two main hills (the true pointing, at least of the former reading, seems to be that of <a href='/Strongs/strongs-h3390' onclick='return ABMM("/Strongs","/strongs-h3390");'>h3390</a> (יְרוּשָׁלֵם))); probably from (the passive participle of) <a href='/Strongs/strongs-h3384' onclick='return ABMM("/Strongs","/strongs-h3384");'>h3384</a> (יָרָה) and <a href='/Strongs/strongs-h7999' onclick='return ABMM("/Strongs","/strongs-h7999");'>h7999</a> (שָׁלַם); founded peaceful
3390	יְרוּשָׁלֵם	Yᵉrûwshâlêm	yer-oo-shaw-lame'	arc	Proper Name Location	{Jerusalem}; {Jerusalem}; (Aramaic) corresponding to <a href='/Strongs/strongs-h3389' onclick='return ABMM("/Strongs","/strongs-h3389");'>h3389</a> (יְרוּשָׁלַ͏ִם)
3391	יֶרַח	yerach	yeh'-rakh	heb	Noun Masculine	a lunation, i.e. month; month, moon.; from a unused root of uncertain signification
3392	יֶרַח	Yerach	yeh'-rakh	x-pn	Proper Name Masculine	Jerach, an Arabian patriarch; Jerah.; the same as <a href='/Strongs/strongs-h3391' onclick='return ABMM("/Strongs","/strongs-h3391");'>h3391</a> (יֶרַח)
3393	יְרַח	yᵉrach	yeh-rakh'	arc	Noun Masculine	a month; month.; (Aramaic) corresponding to <a href='/Strongs/strongs-h3391' onclick='return ABMM("/Strongs","/strongs-h3391");'>h3391</a> (יֶרַח)
3394	יָרֵחַ	yârêach	yaw-ray'-akh	heb	Noun Masculine	the moon; moon. Yrechow. See <a href='/Strongs/strongs-h3405' onclick='return ABMM("/Strongs","/strongs-h3405");'>h3405</a> (יְרִיחוֹ).; from the same as <a href='/Strongs/strongs-h3391' onclick='return ABMM("/Strongs","/strongs-h3391");'>h3391</a> (יֶרַח)
3395	יְרֹחָם	Yᵉrôchâm	yer-o-khawm'	x-pn	Proper Name Masculine	Jerocham, the name of seven or eight Israelites; Jeroham.; from <a href='/Strongs/strongs-h7355' onclick='return ABMM("/Strongs","/strongs-h7355");'>h7355</a> (רָחַם); compassionate
3396	יְרַחְמְאֵל	Yᵉrachmᵉʼêl	yer-akh-meh-ale'	x-pn	Proper Name Masculine	Jerachmeel, the name of three Israelites; Jerahmeel.; from <a href='/Strongs/strongs-h7355' onclick='return ABMM("/Strongs","/strongs-h7355");'>h7355</a> (רָחַם) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); God will compassionate
3397	יְרַחְמְאֵלִי	Yᵉrachmᵉʼêlîy	yer-akh-meh-ay-lee'	x-pn	Adjective	a Jerachmeelite or descendant of Jerachmeel; Jerahmeelites.; patronymically from <a href='/Strongs/strongs-h3396' onclick='return ABMM("/Strongs","/strongs-h3396");'>h3396</a> (יְרַחְמְאֵל)
3398	יַרְחָע	Yarchâʻ	yar-khaw'	x-pn	Proper Name Masculine	Jarcha, an Egyptian; Jarha.; probably of Egyptian origin
3399	יָרַט	yâraṭ	yaw-rat'	heb	Verb	to precipitate or hurl (rush) headlong; (intransitively) to be rash; be perverse, turn over.; a primitive root
3400	יְרִיאֵל	Yᵉrîyʼêl	yer-ee-ale'	x-pn	Proper Name Masculine	Jeriel, an Israelite; Jeriel. Compare <a href='/Strongs/strongs-h3385' onclick='return ABMM("/Strongs","/strongs-h3385");'>h3385</a> (יְרוּאֵל).; from <a href='/Strongs/strongs-h3384' onclick='return ABMM("/Strongs","/strongs-h3384");'>h3384</a> (יָרָה) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); thrown of God
3401	יָרִיב	yârîyb	yaw-rebe'	heb	Noun Masculine	literally he will contend; properly, adjective, contentious; used as noun, an adversary; that content(-eth), that strive.; from <a href='/Strongs/strongs-h7378' onclick='return ABMM("/Strongs","/strongs-h7378");'>h7378</a> (רִיב)
3402	יָרִיב	Yârîyb	yaw-rebe'	x-pn	Proper Name Masculine	Jarib, the name of three Israelites; Jarib.; the same as <a href='/Strongs/strongs-h3401' onclick='return ABMM("/Strongs","/strongs-h3401");'>h3401</a> (יָרִיב)
3403	יְרִיבַי	Yᵉrîybay	yer-eeb-ah'ee	x-pn	Proper Name Masculine	Jeribai, an Israelite; Jeribai.; from <a href='/Strongs/strongs-h3401' onclick='return ABMM("/Strongs","/strongs-h3401");'>h3401</a> (יָרִיב); contentious
3404	יְרִיָּה	Yᵉrîyâh	yer-ee-yaw'	x-pn	Proper Name Masculine	Jerijah, an Israelite; Jeriah, Jerijah.; or יְרִיָּהוּ; from <a href='/Strongs/strongs-h3384' onclick='return ABMM("/Strongs","/strongs-h3384");'>h3384</a> (יָרָה) and <a href='/Strongs/strongs-h3050' onclick='return ABMM("/Strongs","/strongs-h3050");'>h3050</a> (יָהּ); Jah will throw
3405	יְרִיחוֹ	Yᵉrîychôw	yer-ee-kho'	x-pn	Proper Name Location	Jericho or Jerecho, a place in Palestine; Jericho.; or יְרֵחוֹ; or variation (1 Kings 16:34) יְרִיחֹה; perhaps from <a href='/Strongs/strongs-h3394' onclick='return ABMM("/Strongs","/strongs-h3394");'>h3394</a> (יָרֵחַ); its month; or else from <a href='/Strongs/strongs-h7306' onclick='return ABMM("/Strongs","/strongs-h7306");'>h7306</a> (רוּחַ); fragrant
3406	יְרִימוֹת	Yᵉrîymôwth	yer-ee-mohth'	x-pn	Proper Name Feminine	Jerimoth or Jeremoth, the name of twelve Israelites; Jermoth, Jerimoth, and Ramoth (from the margin).; or יְרֵימוֹת; or יְרֵמוֹת; feminine plural from <a href='/Strongs/strongs-h7311' onclick='return ABMM("/Strongs","/strongs-h7311");'>h7311</a> (רוּם); elevations
3407	יְרִיעָה	yᵉrîyʻâh	yer-ee-aw'	heb	Noun Feminine	a hanging (as tremulous); curtain.; from <a href='/Strongs/strongs-h3415' onclick='return ABMM("/Strongs","/strongs-h3415");'>h3415</a> (יָרַע)
3408	יְרִיעוֹת	Yᵉrîyʻôwth	yer-ee-ohth'	x-pn	Proper Name Feminine	Jerioth, an Israelitess; Jerioth.; plural of <a href='/Strongs/strongs-h3407' onclick='return ABMM("/Strongs","/strongs-h3407");'>h3407</a> (יְרִיעָה); curtains
3409	יָרֵךְ	yârêk	yaw-rake'	heb	Noun Feminine	the thigh (from its fleshy softness); by euphemistically the generative parts; figuratively, a shank, flank, side; [idiom] body, loins, shaft, side, thigh.; from an unused root meaning to be soft
3410	יַרְכָא	yarkâʼ	yar-kaw'	arc	Noun Feminine	a thigh; thigh.; (Aramaic) corresponding to <a href='/Strongs/strongs-h3411' onclick='return ABMM("/Strongs","/strongs-h3411");'>h3411</a> (יְרֵכָה)
3411	יְרֵכָה	yᵉrêkâh	yer-ay-kaw'	heb	Noun Feminine	properly, the flank; but used only figuratively, the rear or recess; border, coast, part, quarter, side.; feminine of <a href='/Strongs/strongs-h3409' onclick='return ABMM("/Strongs","/strongs-h3409");'>h3409</a> (יָרֵךְ)
3412	יַרְמוּת	Yarmûwth	yar-mooth'	x-pn	Proper Name Location	Jarmuth, the name of two places in Palestine; Jarmuth.; from <a href='/Strongs/strongs-h7311' onclick='return ABMM("/Strongs","/strongs-h7311");'>h7311</a> (רוּם); elevation
3413	יְרֵמַי	Yᵉrêmay	yer-ay-mah'-ee	x-pn	Proper Name Masculine	Jeremai, an Israelite; Jeremai.; from <a href='/Strongs/strongs-h7311' onclick='return ABMM("/Strongs","/strongs-h7311");'>h7311</a> (רוּם); elevated
3414	יִרְמְיָה	Yirmᵉyâh	yir-meh-yaw'	x-pn	Proper Name Masculine	Jirmejah, the name of eight or nine Israelites; Jeremiah.; or יִרְמְיָהוּ; from <a href='/Strongs/strongs-h7311' onclick='return ABMM("/Strongs","/strongs-h7311");'>h7311</a> (רוּם) and <a href='/Strongs/strongs-h3050' onclick='return ABMM("/Strongs","/strongs-h3050");'>h3050</a> (יָהּ); Jah will rise
3415	יָרַע	yâraʻ	yaw-rah'	heb	Verb	properly, to be broken up (with any violent action) i.e. (figuratively) to fear; be grevious (only Isaiah 15:4; the rest belong to <a href='/Strongs/strongs-h7489' onclick='return ABMM("/Strongs","/strongs-h7489");'>h7489</a> (רָעַע)).; a primitive root
3416	יִרְפְּאֵל	Yirpᵉʼêl	yir-peh-ale'	x-pn	Proper Name Location	Jirpeel, a place in Palestine; Irpeel.; from <a href='/Strongs/strongs-h7495' onclick='return ABMM("/Strongs","/strongs-h7495");'>h7495</a> (רָפָא) and <a href='/Strongs/strongs-h410' onclick='return ABMM("/Strongs","/strongs-h410");'>h410</a> (אֵל); God will heal
3417	יָרָק	yârâq	yaw-rak'	heb	Verb	to spit; [idiom] but, spit.; a primitive root
3418	יֶרֶק	yereq	yeh'-rek	heb	Noun Masculine	properly, pallor, i.e. hence, the yellowish green of young and sickly vegetation; concretely, verdure, i.e. grass or vegetation; grass, green (thing).; from <a href='/Strongs/strongs-h3417' onclick='return ABMM("/Strongs","/strongs-h3417");'>h3417</a> (יָרָק) (in the sense of vacuity of color)
3419	יָרָק	yârâq	yaw-rawk'	heb	Noun Masculine	properly, green; concretely, a vegetable; green, herbs.; from the same as <a href='/Strongs/strongs-h3418' onclick='return ABMM("/Strongs","/strongs-h3418");'>h3418</a> (יֶרֶק)
3420	יֵרָקוֹן	yêrâqôwn	yay-raw-kone'	heb	Noun Masculine	paleness, whether of persons (from fright), or of plants (from drought); greenish, yellow.; from <a href='/Strongs/strongs-h3418' onclick='return ABMM("/Strongs","/strongs-h3418");'>h3418</a> (יֶרֶק)
3421	יׇרְקְעָם	Yorqᵉʻâm	yor-keh-awm'	x-pn	Proper Name Masculine	Jorkeam, a place in Palestine; Jorkeam.; from <a href='/Strongs/strongs-h7324' onclick='return ABMM("/Strongs","/strongs-h7324");'>h7324</a> (רוּק) and <a href='/Strongs/strongs-h5971' onclick='return ABMM("/Strongs","/strongs-h5971");'>h5971</a> (עַם); people will be poured forth
3422	יְרַקְרַק	yᵉraqraq	yer-ak-rak'	heb	Adjective	yellowishness; greenish, yellow.; from the same as <a href='/Strongs/strongs-h3418' onclick='return ABMM("/Strongs","/strongs-h3418");'>h3418</a> (יֶרֶק)
3423	יָרַשׁ	yârash	yaw-rash'	heb	Verb	to occupy (by driving out previous tenants, and possessing in their place); by implication, to seize, to rob, to inherit; also to expel, to impoverish, to ruin; cast out, consume, destroy, disinherit, dispossess, drive(-ing) out, enjoy, expel, [idiom] without fail, (give to, leave for) inherit(-ance, -or) [phrase] magistrate, be (make) poor, come to poverty, (give to, make to) possess, get (have) in (take) possession, seize upon, succeed, [idiom] utterly.; or יָרֵשׁ; a primitive root
3424	יְרֵשָׁה	yᵉrêshâh	yer-ay-shaw'	heb	Noun Feminine	occupancy; possession.; from <a href='/Strongs/strongs-h3423' onclick='return ABMM("/Strongs","/strongs-h3423");'>h3423</a> (יָרַשׁ)
3425	יְרֻשָּׁה	yᵉrushshâh	yer-oosh-shaw'	heb	Noun Feminine	something occupied; a conquest; also a patrimony; heritage, inheritance, possession.; from <a href='/Strongs/strongs-h3423' onclick='return ABMM("/Strongs","/strongs-h3423");'>h3423</a> (יָרַשׁ)
3426	יֵשׁ	yêsh	yaysh	heb		there is or are (or any other form of the verb to be, as may suit the connection); (there) are, (he, it, shall, there, there may, there shall, there should) be, thou do, had, hast, (which) hath, (I, shalt, that) have, (he, it, there) is, substance, it (there) was, (there) were, ye will, thou wilt, wouldest.; perhaps from an unused root meaning to stand out, or exist; entity; used adverbially or as a copula for the substantive verb (<a href='/Strongs/strongs-h1961' onclick='return ABMM("/Strongs","/strongs-h1961");'>h1961</a> (הָיָה))
