# File Name: Greek_Lexicon_Strongs.txt
# File Size: 1571461     
# File Date: 06/01/2026 18:29:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Greek
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS		Strong's number
#	WORD		Greek word
#	TRANS		Transliterated word
#	PRONOUNCE	Pronunciation
#	LANG		Language
#	MORPH		Part of speech
#	DEF			Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
31	ἀγγελία	angelía	ang-el-ee'-ah	greek	Noun Feminine	an announcement, i.e. (by implication) precept; message; from <a href='/Strongs/strongs-g32' onclick='return ABMM("/Strongs","/strongs-g32");'>g32</a> (ἄγγελος)
32	ἄγγελος	ángelos	ang'-el-os	greek	Noun Masculine	compare <a href='/Strongs/strongs-g34' onclick='return ABMM("/Strongs","/strongs-g34");'>g34</a> (ἀγέλη)) (to bring tidings); a messenger; especially an "angel"; by implication, a pastor; angel, messenger; from (probably derived from <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω)
33	ἄγε	áge	ag'-eh	greek		properly, lead, i.e. come on; go to; imperative of <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω)
34	ἀγέλη	agélē	ag-el'-ay	greek	Noun Feminine	a drove; herd; from <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a> (ἄγω) (compare <a href='/Strongs/strongs-g32' onclick='return ABMM("/Strongs","/strongs-g32");'>g32</a> (ἄγγελος))
35	ἀγενεαλόγητος	agenealógētos	ag-en-eh-al-og'-ay-tos	greek	Adjective	unregistered as to birth; without descent; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle) and <a href='/Strongs/strongs-g1075' onclick='return ABMM("/Strongs","/strongs-g1075");'>g1075</a> (γενεαλογέω)
36	ἀγενής	agenḗs	ag-en-ace'	greek	Adjective	properly, without kin, i.e. (of unknown descent, and by implication) ignoble; base things; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle) and <a href='/Strongs/strongs-g1085' onclick='return ABMM("/Strongs","/strongs-g1085");'>g1085</a> (γένος)
37	ἁγιάζω	hagiázō	hag-ee-ad'-zo	greek	Verb	to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate; hallow, be holy, sanctify; from <a href='/Strongs/strongs-g40' onclick='return ABMM("/Strongs","/strongs-g40");'>g40</a> (ἅγιος)
38	ἁγιασμός	hagiasmós	hag-ee-as-mos'	greek	Noun Masculine	properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier; holiness, sanctification; from <a href='/Strongs/strongs-g37' onclick='return ABMM("/Strongs","/strongs-g37");'>g37</a> (ἁγιάζω)
39	ἅγιον	hágion	hag'-ee-on	greek	Adjective	a sacred thing (i.e. spot); holiest (of all), holy place, sanctuary; neuter of <a href='/Strongs/strongs-g40' onclick='return ABMM("/Strongs","/strongs-g40");'>g40</a> (ἅγιος)
40	ἅγιος	hágios	hag'-ee-os	greek	Adjective	sacred (physically, pure, morally blameless or religious, ceremonially, consecrated); (most) holy (one, thing), saint; from (an awful thing) (compare <a href='/Strongs/strongs-g53' onclick='return ABMM("/Strongs","/strongs-g53");'>g53</a> (ἁγνός), <a href='/Strongs/strongs-g2282' onclick='return ABMM("/Strongs","/strongs-g2282");'>g2282</a> (θάλπω))
41	ἁγιότης	hagiótēs	hag-ee-ot'-ace	greek	Noun Feminine	sanctity (i.e. properly, the state); holiness; from <a href='/Strongs/strongs-g40' onclick='return ABMM("/Strongs","/strongs-g40");'>g40</a> (ἅγιος)
42	ἁγιωσύνη	hagiōsýnē	hag-ee-o-soo'-nay	greek	Noun Feminine	sacredness (i.e. properly, the quality); holiness; from <a href='/Strongs/strongs-g40' onclick='return ABMM("/Strongs","/strongs-g40");'>g40</a> (ἅγιος)
43	ἀγκάλη	ankálē	ang-kal'-ay	greek	Noun Feminine	an arm (as curved); arm; from (a bend, "ache")
44	ἄγκιστρον	ánkistron	ang'-kis-tron	greek	Noun Neuter	a hook (as bent); hook; from the same as <a href='/Strongs/strongs-g43' onclick='return ABMM("/Strongs","/strongs-g43");'>g43</a> (ἀγκάλη)
45	ἄγκυρα	ánkyra	ang'-koo-rah	greek	Noun Feminine	an "anchor" (as crooked); anchor; from the same as <a href='/Strongs/strongs-g43' onclick='return ABMM("/Strongs","/strongs-g43");'>g43</a> (ἀγκάλη)
46	ἄγναφος	ágnaphos	ag'-naf-os	greek	Adjective	properly, unfulled, i.e. (by implication) new (cloth); new; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as a negative particle) and the same as <a href='/Strongs/strongs-g1102' onclick='return ABMM("/Strongs","/strongs-g1102");'>g1102</a> (γναφεύς)
47	ἁγνεία	hagneía	hag-ni'-ah	greek	Noun Feminine	cleanliness (the quality), i.e. (specially) chastity; purity; from <a href='/Strongs/strongs-g53' onclick='return ABMM("/Strongs","/strongs-g53");'>g53</a> (ἁγνός)
48	ἁγνίζω	hagnízō	hag-nid'-zo	greek	Verb	to make clean, i.e. (figuratively) sanctify (ceremonially or morally); purify (self); from <a href='/Strongs/strongs-g53' onclick='return ABMM("/Strongs","/strongs-g53");'>g53</a> (ἁγνός)
49	ἁγνισμός	hagnismós	hag-nis-mos'	greek	Noun Masculine	a cleansing (the act), i.e. (ceremonially) lustration; purification; from <a href='/Strongs/strongs-g48' onclick='return ABMM("/Strongs","/strongs-g48");'>g48</a> (ἁγνίζω)
50	ἀγνοέω	agnoéō	ag-no-eh'-o	greek	Verb	not to know (through lack of information or intelligence); by implication, to ignore (through disinclination); (be) ignorant(-ly), not know, not understand, unknown; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as a negative particle) and <a href='/Strongs/strongs-g3539' onclick='return ABMM("/Strongs","/strongs-g3539");'>g3539</a> (νοιέω)
51	ἀγνόημα	agnóēma	ag-no'-ay-mah	greek	Noun Neuter	a thing ignored, i.e. shortcoming; error; from <a href='/Strongs/strongs-g50' onclick='return ABMM("/Strongs","/strongs-g50");'>g50</a> (ἀγνοέω)
52	ἄγνοια	ágnoia	ag'-noy-ah	greek	Noun Feminine	ignorance (properly, the quality); ignorance; from <a href='/Strongs/strongs-g50' onclick='return ABMM("/Strongs","/strongs-g50");'>g50</a> (ἀγνοέω)
53	ἁγνός	hagnós	hag-nos'	greek	Adjective	properly, clean, i.e. (figuratively) innocent, modest, perfect; chaste, clean, pure; from the same as <a href='/Strongs/strongs-g40' onclick='return ABMM("/Strongs","/strongs-g40");'>g40</a> (ἅγιος)
54	ἁγνότης	hagnótēs	hag-not'-ace	greek	Noun Feminine	cleanness (the state), i.e. (figuratively) blamelessness; pureness; from <a href='/Strongs/strongs-g53' onclick='return ABMM("/Strongs","/strongs-g53");'>g53</a> (ἁγνός)
55	ἁγνῶς	hagnōs	hag-noce'	greek	Adverb	purely, i.e. honestly; sincerely; adverb from <a href='/Strongs/strongs-g53' onclick='return ABMM("/Strongs","/strongs-g53");'>g53</a> (ἁγνός)
56	ἀγνωσία	agnōsía	ag-no-see'-ah	greek	Noun Feminine	ignorance (properly, the state); ignorance, not the knowledge; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle) and <a href='/Strongs/strongs-g1108' onclick='return ABMM("/Strongs","/strongs-g1108");'>g1108</a> (γνῶσις)
57	ἄγνωστος	ágnōstos	ag'-noce-tos'	greek	Adjective	unknown; unknown; from <a href='/Strongs/strongs-g1' onclick='return ABMM("/Strongs","/strongs-g1");'>g1</a> (Α) (as negative particle) and <a href='/Strongs/strongs-g1110' onclick='return ABMM("/Strongs","/strongs-g1110");'>g1110</a> (γνωστός)
58	ἀγορά	agorá	ag-or-ah'	greek	Noun Feminine	probably akin to <a href='/Strongs/strongs-g1453' onclick='return ABMM("/Strongs","/strongs-g1453");'>g1453</a> (ἐγείρω)); properly, the town-square (as a place of public resort); by implication, a market or thoroughfare; market(-place), street; from (to gather
59	ἀγοράζω	agorázō	ag-or-ad'-zo	greek	Verb	properly, to go to market, i.e. (by implication) to purchase; specially, to redeem; buy, redeem; from <a href='/Strongs/strongs-g58' onclick='return ABMM("/Strongs","/strongs-g58");'>g58</a> (ἀγορά)
60	ἀγοραῖος	agoraîos	ag-or-ah'-yos	greek	Adjective	relating to the market-place, i.e. forensic (times); by implication, vulgar; baser sort, low; from <a href='/Strongs/strongs-g58' onclick='return ABMM("/Strongs","/strongs-g58");'>g58</a> (ἀγορά)
